metric,value
cpu_user_mean,0.02
cpu_user_std,0.13
cpu_user_max,1.7
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.49
cpu_system_std,0.4
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.6
cpu_softirq_mean,2.03
cpu_softirq_std,1.1
cpu_softirq_max,5.0
cpu_softirq_p50,2.1
cpu_softirq_p75,2.9
cpu_softirq_p90,3.3
cpu_softirq_p99,4.1
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.8
mem_used_std,0.0
mem_used_max,68.8
mem_used_p50,68.8
mem_used_p75,68.8
mem_used_p90,68.8
mem_used_p99,68.8
max_core_usage_mean,8.51
max_core_usage_std,4.24
max_core_usage_max,18.2
max_core_usage_p50,9.5
max_core_usage_p75,10.0
max_core_usage_p90,13.6
max_core_usage_p99,17.37
cache_misses,5029341.0
cache_hits,958717.0
cache_hit_rate,16.0105
