metric,value
cpu_user_mean,0.03
cpu_user_std,0.11
cpu_user_max,0.8
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.46
cpu_system_std,0.38
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.3
cpu_softirq_mean,1.43
cpu_softirq_std,0.93
cpu_softirq_max,3.3
cpu_softirq_p50,1.7
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,3.3
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.8
mem_used_std,0.0
mem_used_max,69.8
mem_used_p50,69.8
mem_used_p75,69.8
mem_used_p90,69.8
mem_used_p99,69.8
max_core_usage_mean,6.88
max_core_usage_std,4.14
max_core_usage_max,18.2
max_core_usage_p50,9.5
max_core_usage_p75,9.5
max_core_usage_p90,9.5
max_core_usage_p99,16.68
cache_misses,2823934.0
cache_hits,7473134.0
cache_hit_rate,72.5754
