metric,value
cpu_user_mean,0.02
cpu_user_std,0.12
cpu_user_max,1.7
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.28
cpu_system_std,0.27
cpu_system_max,1.2
cpu_system_p50,0.4
cpu_system_p75,0.4
cpu_system_p90,0.4
cpu_system_p99,1.2
cpu_softirq_mean,0.67
cpu_softirq_std,0.39
cpu_softirq_max,2.1
cpu_softirq_p50,0.8
cpu_softirq_p75,0.8
cpu_softirq_p90,1.2
cpu_softirq_p99,1.7
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.9
mem_used_std,0.0
mem_used_max,68.9
mem_used_p50,68.9
mem_used_p75,68.9
mem_used_p90,68.9
mem_used_p99,68.9
max_core_usage_mean,5.52
max_core_usage_std,2.85
max_core_usage_max,13.6
max_core_usage_p50,5.0
max_core_usage_p75,5.0
max_core_usage_p90,9.5
max_core_usage_p99,13.6
cache_misses,937138.0
cache_hits,1558787.0
cache_hit_rate,62.4533
