metric,value
cpu_user_mean,0.01
cpu_user_std,0.08
cpu_user_max,0.4
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.04
cpu_system_std,0.12
cpu_system_max,0.4
cpu_system_p50,0.0
cpu_system_p75,0.0
cpu_system_p90,0.4
cpu_system_p99,0.4
cpu_softirq_mean,0.06
cpu_softirq_std,0.15
cpu_softirq_max,0.8
cpu_softirq_p50,0.0
cpu_softirq_p75,0.0
cpu_softirq_p90,0.4
cpu_softirq_p99,0.4
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.8
mem_used_std,0.0
mem_used_max,68.8
mem_used_p50,68.8
mem_used_p75,68.8
mem_used_p90,68.8
mem_used_p99,68.8
max_core_usage_mean,1.24
max_core_usage_std,2.24
max_core_usage_max,9.5
max_core_usage_p50,0.0
max_core_usage_p75,0.0
max_core_usage_p90,4.8
max_core_usage_p99,9.1
cache_misses,116301.0
cache_hits,165156.0
cache_hit_rate,58.6789
