metric,value
cpu_user_mean,0.02
cpu_user_std,0.09
cpu_user_max,0.8
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.27
cpu_system_std,0.27
cpu_system_max,1.2
cpu_system_p50,0.4
cpu_system_p75,0.4
cpu_system_p90,0.8
cpu_system_p99,0.8
cpu_softirq_mean,0.9
cpu_softirq_std,0.45
cpu_softirq_max,2.5
cpu_softirq_p50,0.8
cpu_softirq_p75,1.2
cpu_softirq_p90,1.69
cpu_softirq_p99,2.1
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.5
mem_used_std,0.0
mem_used_max,68.5
mem_used_p50,68.5
mem_used_p75,68.5
mem_used_p90,68.5
mem_used_p99,68.5
max_core_usage_mean,6.9
max_core_usage_std,2.92
max_core_usage_max,14.3
max_core_usage_p50,5.0
max_core_usage_p75,9.5
max_core_usage_p90,9.5
max_core_usage_p99,13.6
cache_misses,1384911.0
cache_hits,20612.0
cache_hit_rate,1.4665
