metric,value
cpu_user_mean,0.03
cpu_user_std,0.11
cpu_user_max,1.2
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.45
cpu_system_std,0.35
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.3
cpu_softirq_mean,2.11
cpu_softirq_std,1.03
cpu_softirq_max,5.9
cpu_softirq_p50,2.5
cpu_softirq_p75,2.9
cpu_softirq_p90,2.9
cpu_softirq_p99,4.1
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.6
mem_used_std,0.0
mem_used_max,68.6
mem_used_p50,68.6
mem_used_p75,68.6
mem_used_p90,68.6
mem_used_p99,68.6
max_core_usage_mean,8.69
max_core_usage_std,3.98
max_core_usage_max,19.0
max_core_usage_p50,9.5
max_core_usage_p75,10.0
max_core_usage_p90,13.6
max_core_usage_p99,14.3
cache_misses,5229078.0
cache_hits,835745.0
cache_hit_rate,13.7802
