metric,value
cpu_user_mean,0.04
cpu_user_std,0.32
cpu_user_max,4.6
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.06
cpu_system_std,0.15
cpu_system_max,0.4
cpu_system_p50,0.0
cpu_system_p75,0.0
cpu_system_p90,0.4
cpu_system_p99,0.4
cpu_softirq_mean,0.08
cpu_softirq_std,0.16
cpu_softirq_max,0.4
cpu_softirq_p50,0.0
cpu_softirq_p75,0.0
cpu_softirq_p90,0.4
cpu_softirq_p99,0.4
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.4
mem_used_std,0.0
mem_used_max,68.4
mem_used_p50,68.4
mem_used_p75,68.4
mem_used_p90,68.4
mem_used_p99,68.4
max_core_usage_mean,1.99
max_core_usage_std,4.1
max_core_usage_max,47.4
max_core_usage_p50,0.0
max_core_usage_p75,4.8
max_core_usage_p90,5.0
max_core_usage_p99,9.06
cache_misses,192943.0
cache_hits,610.0
cache_hit_rate,0.3152
